iter	Passed	Remaining
0	506	97689
1	1125	108087
2	1630	103803
3	2127	101059
4	2592	97978
5	3037	95186
6	3494	93345
7	3971	92332
8	4461	91699
9	4915	90440
10	5446	90605
11	5886	89276
12	6326	88078
13	6779	87161
14	7243	86437
15	7674	85376
16	8114	84482
17	8550	83606
18	9004	82939
19	9432	82061
20	9857	81211
21	10298	80515
22	10721	79714
23	11150	78982
24	11612	78500
25	12056	77901
26	12482	77205
27	12922	76611
28	13363	76033
29	13812	75506
30	14286	75121
31	14740	74624
32	15184	74083
33	15616	73488
34	16062	72968
35	16523	72521
36	16997	72126
37	17480	71762
38	17946	71325
39	18484	71163
40	18952	70724
41	19437	70346
42	19939	70020
43	20454	69730
44	20920	69268
45	21368	68749
46	21821	68251
47	22261	67712
48	22711	67206
49	23176	66747
50	23651	66316
51	24167	65995
52	24645	65565
53	25170	65256
54	25643	64809
55	26098	64312
56	26563	63845
57	27024	63367
58	27462	62838
59	27941	62402
60	28386	61890
61	28830	61381
62	29281	60886
63	29723	60374
64	30180	59896
65	30623	59391
66	31130	59008
67	31561	58481
68	32025	58017
69	32474	57526
70	32914	57020
71	33379	56558
72	33835	56084
73	34295	55614
74	34759	55151
75	35219	54682
76	35655	54178
77	36158	53774
78	36599	53278
79	37043	52786
80	37512	52332
81	37951	51836
82	38373	51318
83	38800	50809
84	39239	50318
85	39664	49810
86	40083	49298
87	40513	48800
88	40941	48302
89	41371	47807
90	41788	47299
91	42219	46808
92	42690	46362
93	43122	45875
94	43556	45390
95	43988	44904
96	44411	44411
97	44865	43949
98	45284	43454
99	45698	42956
100	46144	42489
101	46574	42008
102	47020	41541
103	47445	41058
104	47884	40587
105	48301	40099
106	48754	39641
107	49179	39161
108	49626	38699
109	50073	38237
110	50516	37773
111	50952	37304
112	51366	36819
113	51780	36337
114	52227	35878
115	52685	35426
116	53117	34957
117	53546	34487
118	53973	34017
119	54414	33555
120	54839	33085
121	55325	32651
122	55756	32184
123	56202	31727
124	56620	31254
125	57048	30788
126	57495	30332
127	57926	29868
128	58414	29433
129	58841	28968
130	59328	28531
131	59759	28068
132	60179	27600
133	60609	27138
134	61023	26669
135	61470	26215
136	61903	25755
137	62350	25301
138	62785	24843
139	63220	24384
140	63650	23925
141	64067	23461
142	64518	23009
