iter	Accuracy	MultiClass
0	0.8450915187	1.476104319
1	0.8411202111	1.363288025
2	0.8557549607	1.267490643
3	0.850230858	1.187395984
4	0.8548067938	1.117724971
5	0.8505331721	1.057486642
6	0.8547518276	1.00453069
7	0.8537899192	0.9539474421
8	0.8554251635	0.9098486399
9	0.8599461331	0.8685819268
10	0.8623234211	0.8326742004
11	0.8636426098	0.7978857132
12	0.8654977189	0.7659408582
13	0.8670367724	0.7389374475
14	0.8695789589	0.7121333851
15	0.8681635794	0.687905439
16	0.8710355631	0.6658408071
17	0.8681360963	0.6438851351
18	0.8850519431	0.624278519
19	0.8855878635	0.6042980681
20	0.8878414775	0.5843849285
21	0.8905897873	0.5668217391
22	0.8909470676	0.5516158178
23	0.8916066619	0.5355799285
24	0.8919502006	0.5213256595
25	0.8918952344	0.5071372684
26	0.8924448964	0.4939544167
27	0.8926372781	0.4815223755
28	0.8922112901	0.4697879903
29	0.8904798549	0.459145931
30	0.8915929204	0.4486748056
31	0.8918677513	0.438525546
32	0.8922937394	0.4288524044
33	0.891908976	0.4195532456
34	0.89416259	0.4109042985
35	0.8942450393	0.4025419412
36	0.8927472105	0.3943420262
37	0.8940938823	0.3869410943
38	0.8940251745	0.3797428636
39	0.9076018249	0.3731318849
40	0.9081377453	0.36603434
41	0.9126999395	0.3587277805
42	0.9146787226	0.3527055288
43	0.9131808938	0.3474016834
44	0.9128923212	0.3424080651
45	0.9133457923	0.3369886428
46	0.9271010828	0.3287967789
47	0.9300692574	0.3212388753
48	0.929808168	0.3140215827
49	0.9318556588	0.3073074299
50	0.9325152531	0.3008358728
51	0.9341917221	0.2948379491
52	0.9341504974	0.2899377491
53	0.9343291376	0.284502914
54	0.9349337657	0.2794916975
55	0.935016215	0.2747986527
56	0.9366789425	0.270741585
57	0.9370087396	0.2668459926
58	0.937393503	0.2631552879
59	0.9384516023	0.2593779274
60	0.938369153	0.2559405092
61	0.9387264332	0.2529233579
62	0.9388775903	0.2495295791
63	0.939069972	0.2456741304
64	0.9391799044	0.2421472769
65	0.9391524213	0.2396605408
66	0.9392486121	0.236521551
67	0.9408838564	0.2333651594
68	0.9414472599	0.2314675727
69	0.9432474028	0.228597473
70	0.9445803331	0.2260516989
71	0.9433298521	0.2236113879
72	0.9525504315	0.2209422374
73	0.9532924751	0.218786748
74	0.9571126257	0.2163376024
75	0.9575935799	0.2141418033
76	0.957621063	0.2119410553
77	0.9580745342	0.2104618142
78	0.9579371187	0.208618462
79	0.9584318144	0.2067188987
80	0.9584318144	0.2046665306
81	0.9585554884	0.2033912368
82	0.9592013412	0.2015791594
83	0.95972352	0.1997453049
84	0.9590639257	0.1982138978
85	0.959847194	0.1967280325
86	0.9599296433	0.1952280787
87	0.9602319573	0.1940453047
88	0.9604380806	0.1922136864
89	0.960822844	0.1911800409
90	0.9607816193	0.1886521636
91	0.9608091024	0.186909989
92	0.9609052932	0.1857131552
93	0.9609327763	0.183893539
94	0.9612350904	0.1822326916
95	0.9617847524	0.1801795483
96	0.9619084263	0.1787614177
97	0.9621145496	0.1779085474
98	0.9620870665	0.1769814591
99	0.9619084263	0.1753623986
100	0.962100808	0.1739593391
101	0.9631863904	0.1732138439
102	0.9639834002	0.1712854193
103	0.9638597263	0.1700026358
104	0.9635986368	0.1687098429
105	0.9640658495	0.1674666669
106	0.964354422	0.1661576127
107	0.9648491178	0.1655020165
108	0.9651102072	0.1641927239
109	0.9651102072	0.1631643504
110	0.9652338812	0.1620687906
111	0.9657010938	0.1610002256
112	0.965604903	0.1597180514
113	0.9655499368	0.158094561
114	0.9660446326	0.1566495172
115	0.9660721156	0.15579869
116	0.9668966086	0.1548938544
117	0.9685043698	0.1532718706
118	0.9690677733	0.1522309652
119	0.9693288627	0.1511877009
120	0.9693700874	0.1501716078
121	0.9698647832	0.1493025768
122	0.9701808388	0.1487955272
123	0.9704144451	0.1478145396
124	0.9707305007	0.146624172
125	0.9707992085	0.1461778377
126	0.970661793	0.144989817
127	0.9704281867	0.1441250857
128	0.9708541747	0.1431888092
129	0.9708953993	0.1427856259
130	0.9711290057	0.1419326314
131	0.9704694113	0.1409614578
132	0.9705793437	0.1400628163
133	0.971087781	0.1392474678
134	0.9713900951	0.1387711204
135	0.9708404331	0.137947184
136	0.9713488704	0.1374596407
137	0.9705793437	0.1365147694
138	0.970936624	0.1354891519
139	0.9715000275	0.1351529615
140	0.9719947232	0.1347553848
141	0.9719260155	0.1340374251
142	0.9722008465	0.1328989144
143	0.9722695542	0.1320104567
144	0.9723245204	0.131233772
145	0.9723107789	0.1304804224
146	0.9732589457	0.1298121528
147	0.973190238	0.1295459337
148	0.9726955422	0.1285056608
149	0.9727367669	0.1277385031
150	0.9735612598	0.1267373958
151	0.9737124169	0.1259667414
152	0.9737811246	0.1255945571
153	0.9734238443	0.1249634289
154	0.9735200352	0.1241608817
155	0.9734788105	0.1238190205
156	0.973616226	0.1235480953
157	0.9737399	0.1232418798
158	0.9738773155	0.1223404748
159	0.9739460232	0.1218346262
160	0.973616226	0.1211101309
161	0.9727779915	0.1208002428
162	0.9734925521	0.1201069853
163	0.9735750014	0.1196289475
164	0.973465069	0.1189871402
165	0.9742345957	0.1182520733
166	0.9745094267	0.1178798611
167	0.9745369098	0.1175660974
168	0.9745506513	0.1173447699
169	0.9746743253	0.1170661533
170	0.9751965041	0.1161397275
171	0.9753614027	0.1156654996
172	0.9753476612	0.1153996856
173	0.9753476612	0.1151196602
174	0.975567526	0.1144487895
175	0.9758286154	0.1141862585
176	0.975842357	0.1137711877
177	0.9758835816	0.1133548431
178	0.9757461661	0.1129568733
179	0.9757461661	0.1123158867
180	0.9756774584	0.111948545
181	0.9754850767	0.1110446511
182	0.9755263013	0.1105146003
183	0.9755263013	0.1103056368
184	0.9756499753	0.1098521171
185	0.9758148739	0.1092242138
186	0.9758148739	0.1090666695
187	0.9758560985	0.1084210387
188	0.9758148739	0.1079643709
189	0.9757736492	0.1075694618
190	0.9761721541	0.1069570278
191	0.9763920189	0.1063542824
192	0.976268345	0.105983415
193	0.9764744682	0.1057132767
194	0.9763645358	0.1052822469
195	0.9764469851	0.1051389985
196	0.9765431759	0.1047416339
197	0.9766805914	0.1044559654
198	0.9766668499	0.1042566218
199	0.9766393668	0.1036558936
200	0.9767767823	0.1035060014
201	0.9769554224	0.1031695178
202	0.9769279393	0.1029648422
203	0.9772302534	0.1027618625
204	0.977395152	0.1023732188
205	0.978247128	0.1017215464
206	0.9783845435	0.1012175885
207	0.9784395097	0.1010445538
208	0.9785631836	0.1004866862
209	0.9786456329	0.09996594282
210	0.9787005991	0.09935047432
211	0.9786868576	0.09897011546
212	0.9790029132	0.0986855536
213	0.979071621	0.09855792019
214	0.9791952949	0.09799289905
215	0.9796899907	0.09747875635
216	0.9798823723	0.09714510222
217	0.9795937998	0.09667019603
218	0.9798411477	0.09631133056
219	0.9800335294	0.09588692299
220	0.980074754	0.09577002858
221	0.9803908097	0.09546617729
222	0.9804457758	0.09511806298
223	0.9804045512	0.09469728325
224	0.9805144836	0.09424925942
225	0.9804595174	0.09383887628
226	0.9805144836	0.09351545168
227	0.9804320343	0.09313943315
228	0.9804732589	0.09304203107
229	0.980198428	0.09273207893
230	0.9807068653	0.09217648631
231	0.9804595174	0.09203633302
232	0.9805144836	0.09165257375
233	0.9805557082	0.09117975103
234	0.9809542132	0.09096924538
235	0.9809954378	0.09087743999
236	0.9807343484	0.09058532705
237	0.980775573	0.09029855132
238	0.9810229209	0.08997942345
239	0.9809816963	0.0897905336
240	0.9809542132	0.08949709584
241	0.9809404716	0.08910635077
242	0.9809542132	0.08896620785
243	0.9809679547	0.08878965086
244	0.980899247	0.08864224235
245	0.9809679547	0.08834631094
246	0.9809679547	0.08808047893
247	0.9810091794	0.08799686823
248	0.9811053702	0.08772071027
249	0.9811740779	0.08749251708
250	0.9811053702	0.08712193765
251	0.9810916286	0.08703448746
252	0.9811328533	0.08685234929
253	0.9811878195	0.08659201839
254	0.9811740779	0.08635989916
255	0.9814076843	0.08601446296
256	0.9813802012	0.08565743061
257	0.9814901336	0.08558246177
258	0.9815313582	0.08544095295
259	0.9818336723	0.08505692657
260	0.9816687737	0.08448144662
261	0.9816275491	0.08422302238
262	0.9816412906	0.08408227855
263	0.9816275491	0.08400361385
264	0.9817099984	0.08378161092
265	0.9818886385	0.08349131626
266	0.982026054	0.08320976577
267	0.9820123124	0.08314231446
268	0.982026054	0.08277588899
269	0.9819848293	0.08261896149
270	0.9819161216	0.08237992558
271	0.9817649645	0.08217246331
272	0.9818474138	0.08203962181
273	0.9819161216	0.08191355553
274	0.9819985709	0.0816793734
275	0.9819985709	0.08144645503
276	0.982026054	0.08138214492
277	0.9820810202	0.08120732553
278	0.9820672786	0.08106008316
279	0.9820810202	0.08078215268
280	0.9819848293	0.08046344795
281	0.9819985709	0.08019264407
282	0.9821359864	0.08003328807
283	0.9819848293	0.07993424998
284	0.982177211	0.07981675156
285	0.9822459188	0.07971046073
286	0.9823558512	0.0794138482
287	0.9825619744	0.07910803783
288	0.9826306821	0.07900961528
289	0.9825344913	0.07877848761
290	0.9826169406	0.07855632673
291	0.9826169406	0.07838430254
292	0.9826444237	0.07830631225
293	0.9827680976	0.07800501268
294	0.9827818392	0.07794215942
295	0.9827955807	0.07787802502
296	0.9827680976	0.07778272835
297	0.9827406145	0.0775910057
298	0.9827406145	0.0775308196
299	0.9828368054	0.07732368582
300	0.983029187	0.07695246465
301	0.983152861	0.07677656882
302	0.983152861	0.07663896857
303	0.983152861	0.07650718997
304	0.9832215687	0.07633645336
305	0.9832078272	0.07623144011
306	0.9832078272	0.07580130046
307	0.9832490518	0.07562047384
308	0.9832353103	0.07539670569
309	0.9834139504	0.07509237072
310	0.9833452427	0.07502621661
311	0.9833589842	0.07466080864
312	0.9834963997	0.07459751071
313	0.9834826582	0.07451569031
314	0.9834826582	0.07408674778
315	0.9834551751	0.07375215057
316	0.9834826582	0.07364657021
317	0.9837437476	0.07333975319
318	0.983730006	0.07315022932
319	0.9838811631	0.07305724083
320	0.9838674215	0.07288019671
321	0.9837437476	0.07256394196
322	0.9837162645	0.07251932771
323	0.9837162645	0.07210852606
324	0.9837162645	0.07205506579
325	0.983730006	0.07202450758
326	0.9837849722	0.07198911756
327	0.9837849722	0.07183572601
328	0.9837987138	0.07169406003
329	0.9836750399	0.07159507055
330	0.9836750399	0.07148756796
331	0.9836612983	0.07143633434
332	0.9836063321	0.0713025538
333	0.9837162645	0.07120908455
334	0.98385368	0.07093866768
335	0.9839910955	0.07057720897
336	0.9839910955	0.07054446738
337	0.9840323201	0.07038489134
338	0.984004837	0.07031557229
339	0.9841559941	0.0701859459
340	0.9841559941	0.07016862757
341	0.9841697356	0.06996104612
342	0.9842384434	0.06973377406
343	0.9842384434	0.06969530311
344	0.9842934096	0.06953670117
345	0.9842934096	0.06947398962
346	0.9843758588	0.0692845802
347	0.9845132743	0.06905851264
348	0.9846919145	0.06882251886
349	0.9847606222	0.06867277662
350	0.9848018469	0.06858294575
351	0.9846919145	0.06844123639
352	0.9846919145	0.0683945005
353	0.9847331391	0.06824398253
354	0.9847331391	0.06803637025
355	0.9847331391	0.06790593271
356	0.9847743638	0.06781984321
357	0.9847606222	0.06780205472
358	0.9847881053	0.0677037126
359	0.9848155884	0.06762605663
360	0.9848155884	0.06743154209
361	0.9848155884	0.06721709162
362	0.98482933	0.06706848189
363	0.98482933	0.0669861457
364	0.9846644314	0.06689817317
365	0.98482933	0.06675415289
366	0.9847193976	0.06651624063
367	0.9847193976	0.06643630658
368	0.98482933	0.06639374862
369	0.9849530039	0.06629485191
