iter	Passed	Remaining
0	170	84987
1	202	50317
2	235	39068
3	266	33068
4	298	29504
5	326	26867
6	361	25431
7	394	24291
8	434	23703
9	466	22869
10	498	22138
11	530	21556
12	560	20982
13	591	20536
14	624	20186
15	657	19900
16	687	19539
17	720	19287
18	754	19098
19	786	18878
20	820	18709
21	853	18539
22	885	18356
23	916	18181
24	947	18003
25	982	17904
26	1016	17801
27	1048	17675
28	1082	17580
29	1115	17471
30	1148	17377
31	1179	17257
32	1213	17178
33	1241	17022
34	1274	16928
35	1305	16821
36	1334	16698
37	1365	16607
38	1398	16532
39	1426	16409
40	1454	16288
41	1485	16203
42	1517	16125
43	1547	16041
44	1579	15971
45	1612	15913
46	1645	15863
47	1675	15777
48	1705	15696
49	1737	15636
50	1765	15540
51	1792	15439
52	1819	15346
53	1853	15306
54	1891	15304
55	1922	15238
56	1951	15170
57	1995	15205
58	2024	15132
59	2055	15076
60	2085	15006
61	2116	14949
62	2147	14894
63	2178	14839
64	2210	14790
65	2240	14735
66	2279	14734
67	2323	14761
68	2363	14762
69	2394	14709
70	2423	14645
71	2464	14647
72	2501	14633
73	2536	14600
74	2568	14556
75	2614	14586
76	2648	14549
77	2686	14532
78	2720	14495
79	2752	14449
80	2785	14406
81	2816	14355
82	2844	14288
83	2872	14224
84	2900	14159
85	2939	14152
86	2987	14180
87	3017	14128
88	3048	14079
89	3083	14048
90	3120	14024
91	3150	13970
92	3212	14057
93	3255	14059
94	3301	14076
95	3338	14047
96	3381	14050
97	3415	14008
98	3445	13955
99	3476	13905
100	3507	13855
101	3540	13816
102	3574	13779
103	3618	13779
104	3649	13730
105	3702	13761
106	3733	13710
107	3766	13669
108	3804	13647
109	3839	13611
110	3879	13595
111	3944	13666
112	3982	13637
113	4037	13671
114	4071	13631
115	4107	13596
116	4137	13543
117	4171	13504
118	4208	13475
119	4240	13427
120	4272	13384
121	4300	13324
122	4328	13266
123	4360	13221
124	4392	13177
125	4421	13122
126	4455	13085
127	4483	13029
128	4512	12978
129	4539	12920
130	4571	12875
131	4598	12819
132	4630	12777
133	4658	12723
134	4685	12666
135	4716	12622
136	4748	12581
137	4780	12540
138	4812	12498
139	4841	12450
140	4868	12395
141	4923	12411
142	4958	12378
143	5001	12366
144	5035	12328
145	5069	12291
146	5111	12275
147	5140	12225
148	5173	12187
149	5204	12143
150	5237	12104
151	5269	12063
152	5297	12014
153	5326	11966
154	5358	11927
155	5385	11875
156	5415	11831
157	5444	11785
158	5473	11739
159	5504	11696
160	5535	11655
161	5561	11603
162	5589	11555
163	5623	11522
164	5655	11482
165	5686	11441
166	5716	11399
167	5744	11352
168	5775	11311
169	5803	11266
170	5842	11240
171	5877	11208
172	5907	11166
173	5936	11122
174	5967	11083
175	5994	11035
176	6027	10998
177	6055	10955
178	6082	10908
179	6115	10872
180	6144	10829
181	6176	10792
182	6207	10753
183	6234	10706
184	6262	10662
185	6293	10624
186	6321	10581
187	6352	10542
188	6383	10504
189	6413	10463
190	6441	10420
191	6473	10383
192	6504	10346
193	6532	10303
194	6563	10266
195	6592	10224
196	6621	10183
197	6647	10139
198	6675	10097
199	6704	10056
200	6742	10029
201	6776	9997
202	6806	9958
203	6838	9922
204	6876	9896
205	6909	9860
206	6944	9828
207	6973	9790
208	7006	9756
209	7036	9716
210	7070	9684
211	7102	9648
212	7129	9606
213	7156	9564
214	7185	9524
215	7215	9486
216	7242	9445
217	7271	9406
218	7301	9368
219	7331	9331
220	7360	9292
221	7389	9253
222	7421	9218
223	7449	9178
224	7476	9138
225	7505	9099
226	7537	9064
227	7565	9025
228	7593	8986
229	7623	8949
230	7653	8912
231	7678	8869
232	7708	8832
233	7739	8798
234	7768	8760
235	7794	8719
236	7825	8684
237	7853	8645
238	7885	8611
239	7914	8573
240	7942	8535
241	7973	8500
242	8004	8465
243	8033	8428
244	8061	8390
245	8091	8354
246	8123	8320
247	8150	8281
248	8183	8249
249	8214	8214
250	8242	8177
251	8270	8139
252	8298	8101
253	8328	8066
254	8356	8028
255	8386	7993
256	8420	7962
257	8447	7923
258	8478	7889
259	8505	7851
260	8536	7817
261	8564	7780
262	8621	7769
263	8650	7732
264	8681	7699
265	8709	7661
266	8742	7628
267	8772	7593
268	8806	7562
269	8836	7527
270	8865	7491
271	8896	7457
272	8924	7420
273	8957	7388
274	8990	7355
275	9022	7322
276	9053	7288
277	9092	7260
278	9121	7225
279	9151	7190
280	9183	7157
281	9216	7124
282	9243	7087
283	9273	7052
284	9299	7015
285	9326	6978
286	9354	6942
287	9383	6906
288	9415	6874
289	9448	6841
290	9474	6804
291	9506	6771
292	9538	6738
293	9569	6705
294	9602	6672
295	9629	6636
296	9660	6602
297	9690	6568
298	9718	6533
299	9747	6498
300	9779	6465
301	9806	6429
302	9833	6393
303	9866	6361
304	9899	6328
305	9930	6296
306	9962	6263
307	9998	6232
308	10030	6200
309	10057	6164
310	10085	6129
311	10114	6094
312	10141	6059
313	10168	6023
314	10201	5991
315	10233	5958
316	10260	5923
317	10287	5887
318	10317	5854
319	10345	5819
320	10374	5784
321	10403	5750
322	10433	5717
323	10462	5683
324	10490	5648
325	10520	5615
326	10549	5581
327	10580	5548
328	10607	5513
329	10634	5478
330	10664	5445
331	10692	5410
332	10720	5376
333	10747	5341
334	10776	5307
335	10810	5276
336	10838	5242
337	10870	5210
338	10898	5175
339	10930	5143
340	10960	5110
341	10988	5076
342	11015	5041
343	11046	5009
344	11074	4975
345	11101	4941
346	11133	4908
347	11162	4875
348	11194	4843
349	11222	4809
350	11249	4775
351	11277	4741
352	11303	4706
353	11335	4675
354	11367	4642
355	11396	4609
356	11423	4575
357	11449	4541
358	11477	4508
359	11509	4475
360	11536	4442
361	11566	4409
362	11595	4376
363	11621	4342
364	11646	4307
365	11675	4274
366	11704	4241
367	11732	4208
368	11765	4176
369	11796	4144
