iter	Accuracy	MultiClass
0	0.906122449	0.5234406973
1	0.9224489796	0.4298585775
2	0.9224489796	0.3626791282
3	0.9306122449	0.3218440361
4	0.9428571429	0.2793331025
5	0.9469387755	0.2474698021
6	0.9510204082	0.2250347588
7	0.9551020408	0.2071413845
8	0.9591836735	0.195391989
9	0.9510204082	0.1835702245
10	0.9591836735	0.173973328
11	0.9551020408	0.1678617338
12	0.9551020408	0.1577326596
13	0.9632653061	0.1489459507
14	0.9591836735	0.1422396381
15	0.9673469388	0.1371231304
16	0.9632653061	0.1283199912
17	0.9714285714	0.1237566911
18	0.9755102041	0.1166825204
19	0.9755102041	0.1123636654
20	0.9795918367	0.1069482225
21	0.9755102041	0.1027167722
22	0.9755102041	0.09963453577
23	0.9795918367	0.09598374176
24	0.987755102	0.09067835456
25	0.9918367347	0.08716966714
26	0.987755102	0.08269143586
27	0.987755102	0.07950028651
28	0.9918367347	0.07398353969
29	0.9918367347	0.07115890776
30	0.9918367347	0.06562304046
31	0.9918367347	0.06304949804
32	0.9918367347	0.06102459417
33	0.9918367347	0.05760950221
34	0.9918367347	0.05571229016
35	0.9918367347	0.05393503684
36	0.9918367347	0.05071673353
37	0.9918367347	0.04894090429
38	0.9918367347	0.04794120186
39	0.9959183673	0.04625663715
40	0.9959183673	0.04516636847
41	0.9918367347	0.0430927431
42	0.9959183673	0.04185011622
43	0.9918367347	0.04056753112
44	0.9959183673	0.03891476553
45	0.9959183673	0.03774720341
46	0.9959183673	0.03624913228
47	0.9959183673	0.03508680694
48	0.9959183673	0.03440261537
49	1	0.03373477493
50	0.9959183673	0.03220823753
51	1	0.03153944131
52	1	0.03089311259
53	1	0.0303401563
54	1	0.02924035495
55	1	0.02831103938
56	1	0.02761086641
57	1	0.02661134223
58	1	0.02582688029
59	1	0.02491939268
60	1	0.02435726507
61	1	0.02387727806
62	1	0.02340718271
63	1	0.02253210277
64	1	0.02179805309
65	1	0.02119338548
66	1	0.02090944121
67	1	0.02037217451
68	1	0.01998293364
69	1	0.01945440893
70	1	0.01922368209
71	1	0.01882722933
72	1	0.01788031766
73	1	0.01730215584
74	1	0.01642783698
75	1	0.01603518727
76	1	0.01571833607
77	1	0.01545903453
78	1	0.01514883779
79	1	0.01482054818
80	1	0.01461245842
81	1	0.01415020779
82	1	0.0137703229
83	1	0.01351368968
84	1	0.0132613626
85	1	0.01304000384
86	1	0.01295028363
87	1	0.01257305554
88	1	0.01237736009
89	1	0.01229480335
90	1	0.01199686623
91	1	0.01190009484
92	1	0.01163978124
93	1	0.0114554635
94	1	0.01126023073
95	1	0.01114682135
96	1	0.0108936576
97	1	0.01070379
98	1	0.01057168733
99	1	0.01050520437
